Agency,Bureau,Account,Program,Cohort Year,Original Subsidy Rate (%),Current Reestimated Rate (%),Change Due to Interest Rates (pct pts),Change Due to Technical (pct pts),Current Reestimate Amt ($K),Net Lifetime Reestimate ($K),Net Lifetime Reest Excl Interest ($K),Total Disbursements ($K),Outstanding Balance ($K)
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2004,-0.9,-0.88,,0.02,,13,11,41183,2853
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2008,-0.82,-0.9,,-0.08,,-21,-8,4796,1510
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2009,-0.82,-0.89,,-0.07,,-7,-2,1983,1317
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2010,-0.82,-0.9,,-0.08,,-14,-10,9018,5993
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2011,-0.85,-0.9,,-0.05,,-55,-33,29036,2255
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2012,1.59,-0.9,0.11,-2.6,,-165,-132,6230,2563
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2013,1.06,-0.9,0.05,-2.01,,-389,-342,17990,8350
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2014,0.71,-0.89,-0.03,-1.57,,-76,-68,4293,2390
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2015,0.59,-0.89,0.05,-1.53,,-240,-212,14590,9188
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2016,0.55,-0.9,0.03,-1.48,,-113,-100,7029,5150
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2017,0.48,-0.89,0.07,-1.45,-17,-79,-68,5070,2814
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2018,0.46,-0.61,0.08,-1.15,-63,-125,-110,10894,9169
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2019,0.38,-0.11,0.08,-0.56,-3,-44,-37,8060,7410
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2020,0.14,-0.1,0.07,-0.31,7,-77,-56,23558,21448
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2021,0.12,-0.19,,-0.31,-17,-102,-95,24641,16748
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2022,0.09,-0.11,,-0.2,-18,-21,-20,10073,7649
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2023,-0.02,-0.24,,-0.22,-20,-19,-19,8854,8460
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal,Water and Waste Disposal Loan Guarantees,2024,-0.14,(4),,,,,,,
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Guaranteed Electric,1999,0,,0.01,-0.01,,-73,8,145911,68316
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Guaranteed Electric,2000,0.01,,,-0.01,,-33,-4,52259,26262
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans,Guaranteed Electric,2001,0.01,,,-0.01,,-30,-4,51717,19313
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Guaranteed Loans,2000,6.76,,-0.25,-6.64,,-14277,-8641,172635,56370
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Guaranteed Loans,2002,5.55,,0.24,-5.79,,-5115,-3439,64600,42865
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Guaranteed Loans,2003,5.63,,0.09,-5.72,,-5139,-3774,74000,47294
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Guaranteed Loans,2005,6.27,0.08,-0.07,-6.12,-327,-14394,-10212,165000,134111
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Guaranteed Loans,2010,6.02,1.88,0.11,-4.24,-977,-9059,-6690,145000,137824
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,Family Housing Improvement Fund Guaranteed Loans,2013,15.28,3.63,0.93,-12.58,-2488,-57792,-48196,450061,429031
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,1992,14.66,13.07,(3),-1.59,124765,-2951447,-417981,14467721,478303
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,1993,13.48,11.66,(3),-1.82,124260,-2356000,-394604,17436504,496442
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,1994,11.93,11.97,(3),0.04,37718,-588014,-119148,22599343,714366
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,1995,15.03,11.41,(3),-3.62,-451545,1057691,-222039,21963895,899058
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,1996,12.83,10.09,(3),-2.74,-447821,-383078,-531914,21854875,1053459
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,1997,12.71,9.69,(3),-3.02,-231300,-1040253,-644811,23226779,1075554
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,1998,8.83,9.94,(3),1.11,-111775,651164,209369,23289359,861032
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,1999,12.34,9.51,0.04,-2.87,25387,-2224951,-757769,25455019,1236484
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,2000,14.2,7.54,-0.1,-6.56,2104,-915292,-1679107,29250329,1654866
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,2001,8.68,5.65,0.29,-3.32,-47846,285759,-933311,34219185,2215013
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,2002,8.84,4.67,-0.31,-3.86,-303591,-1945552,-1709476,51516933,3954530
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,2003,9.58,6.2,-0.04,-3.34,-748559,-2413109,-1820847,69052514,6123989
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,2004,11.61,8.71,0.09,-2.99,-1092823,-3797450,-2968700,75325872,7847168
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,2005,11.26,8.62,0.25,-2.89,-1720164,-4059811,-2791830,97813465,12085960
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,2006,12.98,2.68,-0.95,-9.35,-2042098,-16235979,-13714534,119224489,19846740
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,2007,6.27,-5.93,0.07,-12.27,-1168627,-13641531,-12522422,99119814,21045176
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,2008,-3.67,-6.93,3.96,-7.22,816125,-3195336,-4683450,67070636,9806775
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,2009,-2.98,-3.7,0.09,-0.81,864069,123788,-694506,66778650,5982111
Department of Education,Office of Federal Student Aid,Federal Family Education Loan,FFEL Guarantees,2010,-0.15,-2.35,-0.01,-2.19,128278,-371932,-450813,20021252,2281040
Department of Education,Office of Federal Student Aid,Health Education Assistance Loans,HEAL Loan Guarantee,1992,10.32,-4.21,,-14.53,-108,-112312,-42504,290675,10539
Department of Education,Office of Federal Student Aid,Health Education Assistance Loans,HEAL Loan Guarantee,1993,9.06,-3.95,-13.43,0.42,-91,-94790,-43774,340752,10074
Department of Education,Office of Federal Student Aid,Health Education Assistance Loans,HEAL Loan Guarantee,1994,8.87,1.3,-3.18,-4.39,-307,-48753,-16099,587951,19360
Department of Education,Office of Federal Student Aid,Health Education Assistance Loans,HEAL Loan Guarantee,1995,7.78,0.94,-1.02,-5.82,-328,-35719,-16210,616250,26226
Department of Education,Office of Federal Student Aid,Health Education Assistance Loans,HEAL Loan Guarantee,1996,0.06,0.19,1.62,-1.49,-226,-8148,671,464112,15864
Department of Education,Office of Federal Student Aid,Health Education Assistance Loans,HEAL Loan Guarantee,1997,0.34,0.48,1.27,-1.13,-381,-3811,1059,350542,17494
Department of Education,Office of Federal Student Aid,Health Education Assistance Loans,HEAL Loan Guarantee,1998,1.2,-0.23,1.98,-3.41,-161,-7653,-1871,331270,8077
Department of Education,Office of Federal Student Aid,Health Education Assistance Loans,HEAL Loan Guarantee,1999,0,2.59,5.45,-2.86,-144,1926,6704,252495,6428
Department of Education,Office of Federal Student Aid,Health Education Assistance Loans,HEAL Loan Guarantee,2000,0,3.34,,3.34,-109,1122,3947,116608,6102
Department of Education,Office of Federal Student Aid,Health Education Assistance Loans,HEAL Loan Guarantee,2001,0,2.69,4.35,-1.66,-93,-1363,3557,150489,5982
Department of Education,Office of Federal Student Aid,Health Education Assistance Loans,HEAL Loan Guarantee,2002,10.67,2.52,-4.54,-3.61,-53,-21361,-15062,174733,7049
Department of Education,Office of Federal Student Aid,Health Education Assistance Loans,HEAL Loan Guarantee,2003,15.76,2.48,-7.47,-5.81,60,-19129,-14227,78857,2608
Department of Education,Office of Federal Student Aid,Health Education Assistance Loans,HEAL Loan Guarantee,2004,16.48,3.59,2.99,-15.88,-28,-26799,-23046,45693,2830
Department of Energy,Energy Programs,Title 17 Innovative Technology Loan Guarantee Program,Section 1703 Loan Guarantees,2023,0.17,0.91,,0.74,3103,3103,2951,412900,391997
Department of Energy,Energy Programs,Title 17 Innovative Technology Loan Guarantee Program,Section 1705 Loan Guarantees,2010,3.78,,-0.18,-3.6,,-8631,-3599,98500,
Department of Energy,Energy Programs,Title 17 Innovative Technology Loan Guarantee Program,Section 1705 Loan Guarantees,2011,7.56,0.81,0.49,-7.24,-9006,-196202,-158669,3964267,1403486
Department of Energy,Energy Programs,Tribal Energy Loan Guarantee Program,Tribal Energy Loan Guarantees,2024,2.71,2.39,,-0.33,-188,-188,-181,52404,52404
Department of Health and Human Service,Health Resources and Services Administration..............................................................................................................................................................................,Health Resources and Services,Facilities Renovation Loans,2005,3.57,0.57,-2.61,-0.39,-13,-572,-474,16442,6059
Department of Health and Human Service,Health Resources and Services Administration..............................................................................................................................................................................,Health Resources and Services,Facilities Renovation Loans,2014,2.81,1.47,-0.52,-0.82,-4,-51,-46,3300,1979
Department of Health and Human Service,Health Resources and Services Administration..............................................................................................................................................................................,Health Resources and Services,Facilities Renovation Loans,2016,2.67,1.21,-0.93,-0.53,-7,-134,-134,8700,6887
Department of Health and Human Service,Health Resources and Services Administration..............................................................................................................................................................................,Health Resources and Services,Facilities Renovation Loans,2018,2.69,0.88,-0.54,-1.27,-15,-139,-127,7000,6069
Department of Health and Human Service,Health Resources and Services Administration..............................................................................................................................................................................,Health Resources and Services,Facilities Renovation Loans,2020,2.57,1.37,0.5,-1.7,-1,-22,-21,1725,1162
Department of Health and Human Service,Health Resources and Services Administration..............................................................................................................................................................................,Health Resources and Services,Facilities Renovation Loans,2021,2.78,1.77,0.15,-1.16,-71,-277,-271,26810,26072
Department of Health and Human Service,Health Resources and Services Administration..............................................................................................................................................................................,Health Resources and Services,Facilities Renovation Loans,2022,2.93,1.3,0.14,-1.77,-8,-174,-169,10573,6100
Department of Health and Human Service,Health Resources and Services Administration..............................................................................................................................................................................,Health Resources and Services,Facilities Renovation Loans,2023,2.89,2.46,0.18,-0.61,-43,-74,-73,23622,17730
Department of Health and Human Service,Health Resources and Services Administration..............................................................................................................................................................................,Health Resources and Services,Facilities Renovation Loans,2024,2.53,2.3,0.54,-0.77,-43,-43,-42,18670,18670
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2000,11.07,,(3),-11.07,,-1321,-864,6996,
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2001,11.07,,(3),-11.07,-*,-1335,-845,7365,25
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2004,10.56,,(3),-10.56,-*,-1669,-1132,9937,
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2005,10.32,,(3),-10.32,-*,-729,-669,4493,
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2006,12.26,0.02,(3),-12.24,2,-2181,-1404,11489,834
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2007,11.99,0.02,(3),-11.97,,-2172,-1015,11156,2516
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2008,12.12,,0.19,-12.31,-*,-2118,-1281,9577,244
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2010,11.18,0.01,-0.36,-10.81,,-429,-245,2054,252
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2011,10.2,0.12,-0.55,-9.53,9,-2381,-2074,18218,7002
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2012,10.8,0.07,0.96,-11.69,5,-2509,-1520,18738,2847
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2013,10.91,0.1,0.74,-11.55,5,-2136,-1344,16244,3207
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2014,12.1,0.18,-0.24,-11.68,9,-1612,-1456,11518,4035
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2015,11.21,0.19,0.59,-11.61,10,-1759,-1453,14487,3308
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2016,11.46,0.05,0.79,-12.2,2,-1409,-1138,12215,1808
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2017,11.2,0.06,,-11.14,-32,-684,-530,9527,1889
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2018,11.5,0.04,-0.04,-11.42,-3,-234,-200,2015,834
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2019,11.26,0.33,0.62,-11.55,-426,-911,-176,12620,7684
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2020,6.25,1.31,,-4.95,57,-207,-80,4206,3085
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2021,6.39,1.55,,-4.84,-88,-921,-266,18853,11149
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2022,5.55,2.67,-0.11,-2.77,-101,-158,-95,5494,4537
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2023,5.63,4.87,,-0.76,-521,-71,-50,8000,7786
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Programs,Title VI Indian Federal Guarantees Program,2024,5.13,,,-5.13,,,,,
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,1994,8.13,-53.82,(3),-61.95,,-436,-101,192,5
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,1995,8.13,-12.24,(3),-20.37,,-1000,-587,1983,168
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,1996,8.13,-4.38,(3),-12.51,,-3186,-2862,14646,2073
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,1997,8.13,-2.39,(3),-10.52,,-3539,-3839,22553,4503
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,1998,8.13,-4.55,(3),-12.68,4,-2520,-2545,13498,3365
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,1999,8.13,-0.95,(3),-9.08,,-1520,-1891,11907,2831
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2000,8.13,-1.71,(3),-9.84,-10,-1715,-2166,14475,2793
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2001,8.13,-0.02,(3),-8.15,,-1102,-1480,11817,3367
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2002,2.47,-1.02,0.15,-3.64,-5,-1095,-938,25979,4245
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2003,2.43,0.62,0.3,-2.11,-4,-627,-701,39732,8541
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2004,2.73,0.93,0.05,-1.85,-46,-728,-941,61619,16306
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2005,2.58,3.86,(3),1.28,-560,2914,2126,100548,30327
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2006,2.42,5.62,(3),3.2,-177,9247,6808,184360,51199
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2007,2.35,5.79,(3),3.44,105,11638,8146,231692,64210
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2008,2.42,6.86,0.36,4.08,31,16900,14610,300997,54990
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2009,2.52,1.91,0.4,-1.01,459,-3230,-3540,492010,81616
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2010,0.68,0.74,0.04,0.02,-34,-683,1506,546752,104714
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2011,0.83,-0.08,0.1,-1.01,-162,-7091,-6011,531533,109240
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2012,1.46,0.29,0.11,-1.28,-497,-13117,-10900,784339,224337
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2013,1.35,-0.09,0.07,-1.51,-894,-12278,-10760,635834,194535
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2014,0.57,-0.42,-0.02,-0.97,-1246,-10128,-9595,701295,200300
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2015,1.16,-1.29,0.12,-2.57,-1145,-23352,-22291,770796,252269
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2016,0.63,-1.47,0.15,-2.25,-1259,-19257,-18815,702860,271280
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2017,0.56,-1.57,,-2.13,-861,-18353,-18043,679751,275389
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2018,0.37,-1.47,0.01,-1.85,-736,-13255,-13301,571510,215931
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2019,0.26,-1.42,0.13,-1.81,-86,-11493,-11648,551520,244291
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2020,0.11,-1.15,0.88,-2.14,-254,-13952,-14026,932012,628556
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2021,0.3,-0.8,0.06,-1.16,219,-14353,-14367,1313740,687446
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2022,0.33,-0.76,,-1.09,1183,-8034,-8071,701990,412998
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2023,1.08,-1.88,,-2.96,-3561,-7038,-6777,265157,254164
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund,Indian Housing Loan Guarantee,2024,0.1,0.28,,0.18,482,482,463,256140,235825
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2008,2.42,-0.94,(3),-3.36,6,-812,-145,4342,677
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2009,2.52,3.08,0.4,0.16,-9,-419,86,14112,2621
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2010,2.52,2.27,0.08,-0.33,55,-4364,-34,36025,4718
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2011,0.83,1.76,1.28,-0.35,9,7,109,12286,4683
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2012,0.93,3.04,0.07,2.04,-2,164,135,5333,1722
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2013,0.5,0.36,0.03,-0.17,107,-50,-33,24999,10073
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2014,0.53,-0.94,0.01,-1.48,11,-188,-166,11305,3879
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2015,0.62,-1.03,0.01,-1.66,7,-191,-165,10890,5258
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2016,0.51,-0.89,0.01,-1.4,-14,-278,-224,16042,8702
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2017,-0.28,-0.2,0.84,-0.76,91,-98,7,15202,9753
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2018,-0.29,-0.73,-0.03,-0.41,-11,-104,-74,16023,8371
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2019,-0.32,-0.72,-0.02,-0.38,-11,-91,-64,16032,8922
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2020,-0.34,-0.69,-0.27,-0.07,-8,-52,-39,11363,8023
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2021,-0.15,-0.88,-0.28,-0.45,6,-136,-133,18623,16425
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2022,-0.19,-0.7,-0.58,0.07,-1,-55,-54,10581,9266
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2023,-0.35,-0.3,0.03,0.02,1,5,5,4622,4371
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Loan Guarantee Fund,Native Hawaiian Housing Loan Guarantees,2024,-0.66,-0.22,,0.44,6,6,12,1490,1482
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,1996,2.1,,(3),-2.1,,-9546,-4492,273405,
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,1997,2.3,,(3),-2.3,,-8345,-4241,211118,
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,1998,2.3,,(3),-2.3,,-12594,-5669,277198,
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,1999,2.3,,(3),-2.3,,-14128,-5882,293147,
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,2000,2.3,,(3),-2.3,-1,-13465,-6534,300048,1003
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,2001,2.3,,(3),-2.3,-*,-7846,-3979,188973,828
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,2002,2.3,,(3),-2.3,-*,-14305,-5584,259968,430
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,2003,2.3,,(3),-2.3,-2,-13100,-6150,281379,3074
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,2004,2.3,,(3),-2.3,-9,-10971,-5187,238735,7287
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,2005,2.3,,(3),-2.3,-7,-11449,-5177,262554,14559
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,2006,2.2,,0.06,-2.26,-35,-8625,-3464,181890,18447
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,2007,2.17,0.02,0.17,-2.32,4,-6815,-2839,158020,37229
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,2008,2.25,0.01,0.22,-2.46,-16,-4819,-2333,123481,9024
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,2009,2.26,0.03,0.16,-2.39,-23,-4836,-2491,148676,32449
Department of Housing and Urban Development,Community Planning and Development,Community Development Loan Guarantees,Section 108 Community Development Loan Guarantee,2010,2.4,0.07,0.04,-2.37,-30,-3964,-2839,129352,37221
