Agency,Bureau,Account,Program,Cohort Year,Original Subsidy Rate (%),Current Reestimated Rate (%),Change Due to Interest Rates (pct pts),Change Due to Technical (pct pts),Current Reestimate Amt ($K),Net Lifetime Reestimate ($K),Net Lifetime Reest Excl Interest ($K),Total Disbursements ($K),Outstanding Balance ($K)
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 524 Site Development,2017,2.22,11.79,0.01,9.57,11,11,10,135,135
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 524 Site Development,2022,4.11,3.03,,-1.08,14,-45,-51,690,690
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 524 Site Development,2023,4.16,(4),,,,,,,
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,1992,14.69,10.88,-0.13,-3.68,-108,-30922,-8067,185105,2512
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,1993,11.51,7.2,0.47,-4.78,-264,-26086,-7709,163610,3654
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,1994,16.26,10.08,-0.32,-5.86,-1560,-16015,-8422,116716,3785
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,1997,8.87,9.65,1.21,-0.43,-423,-2541,-1960,19069,1398
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,1998,13.97,7.51,-1.31,-5.15,-435,-1352,-1460,21116,1700
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,1999,9.02,6.65,1.6,-3.97,-195,-2841,-1827,15636,1141
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2000,6.08,12.17,3.59,2.5,-92,377,366,6464,797
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2001,-3.23,-6.86,-2.16,-1.47,-14,-25,-102,2979,5
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2002,-4.82,-3.98,-4.77,5.61,-22,34,20,2321,18
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2003,-9.58,-9.66,-8.32,8.24,,-2,3,737,
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2004,-17.46,-6.58,-5.61,16.49,1,105,98,862,45
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2005,-16.23,-10.86,-6.52,11.89,5,-82,-80,645,73
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2006,-14.53,-6.57,4.12,3.84,4,-28,-27,413,24
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2007,0.48,-9.84,0.94,-11.26,-2,-17,-15,153,30
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2008,-1.15,-10.82,-4.61,-5.06,1,-22,-30,321,11
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2009,-2.59,-8.42,-8.84,3.01,,-60,-59,1032,61
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2010,-15.63,-5.56,3.73,6.34,-99,115,112,1104,38
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2011,-11.12,-11.98,1.85,-2.71,-3,-6,-4,663,205
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2012,-16.85,-7.26,5.59,4,-5,103,94,974,111
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2013,-8.97,-11.55,0.76,-3.34,-1,-19,-16,653,87
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2014,-8.97,-5.73,-2.17,5.41,-4,17,32,960,85
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2015,-6.41,-6.18,0.41,-0.18,-8,24,4,1396,150
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2016,-4.87,-6.88,-5.12,3.11,-8,-32,-36,1875,296
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2017,-2.36,-6.72,-0.15,-4.21,-1,-31,-29,669,148
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2018,-5.45,-4.16,1.27,0.01,42,29,21,1580,234
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2019,-2.42,-0.68,-6.35,8.09,73,7,11,617,300
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2020,-1.85,-3.69,-11.34,9.5,-8,-11,-9,471,43
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2021,-2.46,0.32,-6.52,9.3,-2,4,6,225,
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Single Family Housing Credit Sales,2022,-2.78,-5.06,2.87,-5.15,,-1,-1,39,37
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,1992,17.71,46.63,-0.13,29.05,59,-630,639,2070,1319
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,1993,10.92,54.05,0.47,42.66,-6,944,611,1477,1391
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,1994,18.64,60.84,-0.32,42.52,2,1848,2313,6055,3849
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,1997,50.55,58.5,9.49,-1.54,-22,329,274,4234,2439
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,1998,13.97,48.83,18.25,16.61,-1,-728,343,989,285
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,1999,48.31,46.82,-2.19,0.7,12,-2184,-112,3961,2812
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,2000,39.54,58.23,12.44,6.25,10,342,160,958,644
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,2001,49.03,43.01,-5.14,-0.88,8,-174,-126,1779,1314
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,2002,42.17,46.67,1.19,3.31,-3,17,55,1775,1407
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,2003,46.68,40.23,-3.07,-3.38,-3,-168,-145,1988,1350
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,2004,44.2,41.82,0.25,-2.64,-1,-25,-18,401,321
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,2005,48.44,37.07,-8.15,-3.22,-2,-175,-166,1368,841
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,2006,45.4,46.07,-4.43,5.1,-5,3,-6,1485,755
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,2007,45.33,50.69,-4.66,10.02,-3,179,62,1485,807
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,2008,37.14,33.57,-6.01,2.44,-20,-87,-63,1476,556
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,2009,36.12,44.51,-9.94,18.33,-2,178,110,1448,988
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Credit Sales,2010,38.4,39.73,14.09,-12.76,-1,3,5,1110,959
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2006,87.52,42.01,-11.19,-34.32,-71,-1989,-1600,3989,3632
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2007,87.08,52.42,-2.21,-32.45,-280,-1152,-860,2587,2128
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2008,86.17,56.44,-2.21,-27.52,-381,-4322,-3430,12223,11687
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2009,85.51,58.19,-4.45,-22.87,-68,-1512,-1272,4894,4868
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2010,72.86,53.06,10.96,-30.76,-182,-5040,-4249,21914,21218
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2011,62.71,66.96,-1.73,5.98,-139,144,195,7363,7195
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2012,61.74,65.55,-9.75,13.56,9,97,89,3767,3767
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2013,61.44,57.3,-9.78,5.64,-8,-192,-147,3069,3069
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2014,51.25,44.31,-3.88,-3.06,14,-474,-436,6065,6065
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2015,60.71,48.88,-15.37,3.53,-114,-2159,-1826,15291,15291
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2016,54.12,43.88,-8.64,-1.61,-2156,-6775,-5764,55840,55840
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2017,57.01,53.48,,-3.53,-193,-1174,-940,20365,20365
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2018,54.68,26.83,-14.61,-13.23,-755,-4472,-4101,15218,15218
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2019,50.58,61.81,,11.23,2332,1968,1582,18706,18706
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2020,58.35,61.25,,2.9,734,58,-10,18666,18666
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2021,46.28,46.6,,0.32,-9,-22,-20,3755,3755
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2022,35.51,36.95,,1.44,40,41,41,3909,3909
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2023,48.89,(4),,,,,,,
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Seconds,2024,66.77,(4),,,,,,,
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Manufactured Home Disaster Demo,2001,20.07,19.94,-5.32,5.19,39,9,-3,256,78
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Manufactured Home Disaster Demo,2002,17.68,10.65,-3.93,-3.1,28,-33,-31,416,84
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 502 Manufactured Home Disaster Demo,2003,17.92,10.45,-7.33,-0.14,1,-4,-15,191,46
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2006,54.37,41.84,-5.86,-6.67,,-28,-28,230,110
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2007,54.11,45.91,-8.7,0.5,1,-174,-209,2443,974
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2008,51.26,58.66,-7.42,14.82,-12,845,702,12650,9091
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2009,60.59,57.97,-4.89,2.27,-11,-618,-539,15004,10680
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2010,38.16,48.96,11.37,-0.57,4,388,358,3847,2735
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2011,45.18,42.7,-14.02,11.54,-191,-157,-128,3918,2507
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2012,54.29,42.5,-7.04,-4.75,-4,-724,-663,5613,3989
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2013,58.28,45.95,-7.35,-4.98,1,-1285,-1224,10290,8598
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2014,48.86,42.78,-2.57,-3.51,-2,-349,-329,5252,4243
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2015,56.22,43.78,-9.23,-3.22,-2,-2394,-2225,18014,14967
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2016,52.68,48.21,-4.65,0.19,-45,-601,-583,11652,10365
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2019,46.78,51.21,,4.43,44,124,107,1856,1812
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2020,52.86,54.66,,1.8,-37,31,28,2696,2661
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2021,41.26,43.68,,2.42,7,7,7,378,378
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2022,34.09,36.36,,2.27,4,4,4,199,199
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Revitalization Zero,2023,43.56,(4),,,,,,,
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Native American Single Family Relending Pilot,2018,38.52,23.58,-2.54,-12.4,59,-223,-225,1600,1548
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Native American Single Family Relending Pilot,2022,23.99,20.26,,-3.74,-19,-41,-40,563,563
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 514 Multifamily Housing Revitalization Modifications,2012,7.82,-3.26,,-11.08,,-160,-135,351,351
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Reamortizations,2017,17.92,-0.42,,-0.42,6,40,35,109,109
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2006,29.37,22.9,(3),-6.47,-39,5936,5431,44272,42573
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2007,28.9,23.37,(3),-5.53,327,8725,7176,51045,51239
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2008,17.72,11.21,(3),-6.51,-89,-661,-98,87165,86610
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2009,23.41,14.52,(3),-8.89,-83,516,769,45210,44664
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2010,12.04,23.63,(3),11.59,-52,12283,11282,89244,87777
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2011,17.17,-2.24,(3),-19.41,-46,-1664,-2094,24811,24614
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2012,66.71,2.96,(3),-63.75,640,-585,-909,37518,38370
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2013,11.22,-0.66,(3),-11.88,-15,-665,-632,6358,6347
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2014,8.33,1.5,(3),-6.83,-62,-1907,-1735,40279,40203
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2015,1.52,-2.01,(3),-3.53,-62,-6962,-6470,60480,60460
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2016,0.69,-4.68,(3),-5.37,12,-3330,-3136,27393,27385
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2017,-3.14,-2.75,(3),0.39,2,-483,-861,3679,3676
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2018,-3.8,-11.31,(3),-7.52,-6243,-23467,-21899,87475,87425
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2019,2.27,-9.29,(3),-11.56,-2189,-14262,-13233,72582,72582
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2020,-31.72,-45.64,(3),-13.92,-734,-7004,-7001,9787,9787
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2021,-40.21,-41.7,(3),-1.49,-3345,-4798,-4780,8055,8055
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Section 515 Multifamily Housing Revitalization Deferrals,2022,8,37.51,(3),29.51,18295,18294,16462,60896,60896
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Relending Demo,2005,46.76,42.23,-4.86,0.33,114,-4,-261,6250,5385
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Relending Demo,2006,46.76,38.81,-2.31,-5.64,61,-169,-294,4029,2777
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Relending Demo,2007,47.82,32.79,-3.43,-11.6,30,-263,-258,2000,1612
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Relending Demo,2008,46.39,44.38,-5.38,3.37,22,46,-24,1141,1023
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Relending Demo,2009,44.98,35.12,-9.95,0.09,97,-357,-482,5847,5573
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Relending Demo,2010,27.89,(4),,,,,,,
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Relending Demo,2011,41.34,37.2,-4.54,0.4,-438,239,-113,5854,5781
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Relending Demo,2012,36.84,34.22,-10.93,8.31,70,20,-121,4125,4125
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Relending Demo,2013,36.18,28.56,-16.33,8.7,15,-46,-76,1000,967
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Relending Demo,2014,26.16,(4),,,,,,,
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Relending Demo,2015,35.41,38.78,,3.37,176,356,208,8604,8604
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund,Multifamily Housing Relending Demo,2016,31.26,29.21,-5.72,3.66,44,-12,-49,2111,2111
Department of Agriculture,Rural Business-Cooperative Service,Rural Microentrepreneur Assistance Program,Rural Microenterprise Direct Loans,2010,21.13,4.09,-4.61,-12.43,12,-1342,-1186,17137,5094
Department of Agriculture,Rural Business-Cooperative Service,Rural Microentrepreneur Assistance Program,Rural Microenterprise Direct Loans,2011,21.39,2.53,-6.57,-12.29,14,-1809,-1935,10972,4344
Department of Agriculture,Rural Business-Cooperative Service,Rural Microentrepreneur Assistance Program,Rural Microenterprise Direct Loans,2014,6.26,1.85,-0.05,-4.36,-109,-523,-525,12422,7072
Department of Agriculture,Rural Business-Cooperative Service,Rural Microentrepreneur Assistance Program,Rural Microenterprise Direct Loans,2015,12.81,2.28,-8.77,-1.76,-5,-80,-81,815,452
Department of Agriculture,Rural Business-Cooperative Service,Rural Microentrepreneur Assistance Program,Rural Microenterprise Direct Loans,2016,11.33,4.53,-6.42,-0.38,-33,-355,-442,6625,3898
Department of Agriculture,Rural Business-Cooperative Service,Rural Microentrepreneur Assistance Program,Rural Microenterprise Direct Loans,2017,12.4,3.9,-6.4,-2.1,-9,-360,-466,5634,4149
Department of Agriculture,Rural Business-Cooperative Service,Rural Microentrepreneur Assistance Program,Rural Microenterprise Direct Loans,2018,9.98,4.32,-3.54,-2.12,-23,-179,-247,4400,3161
Department of Agriculture,Rural Business-Cooperative Service,Rural Microentrepreneur Assistance Program,Rural Microenterprise Direct Loans,2019,9.52,-3.39,-4.88,-8.03,14,-243,-315,2511,2192
Department of Agriculture,Rural Business-Cooperative Service,Rural Microentrepreneur Assistance Program,Rural Microenterprise Direct Loans,2020,14.88,6.94,-2.32,-5.62,-248,-182,-209,2703,2401
Department of Agriculture,Rural Business-Cooperative Service,Rural Microentrepreneur Assistance Program,Rural Microenterprise Direct Loans,2021,3.14,14.02,,10.88,215,262,234,2153,1922
Department of Agriculture,Rural Business-Cooperative Service,Rural Microentrepreneur Assistance Program,Rural Microenterprise Direct Loans,2022,-4.1,3.16,,7.26,42,89,83,782,778
Department of Agriculture,Rural Business-Cooperative Service,Rural Microentrepreneur Assistance Program,Rural Microenterprise Direct Loans,2023,5.34,8.64,,3.3,92,99,96,2949,2949
Department of Agriculture,Rural Business-Cooperative Service,Rural Microentrepreneur Assistance Program,Rural Microenterprise Direct Loans,2024,15.7,22.83,,7.13,46,46,45,667,667
Department of Agriculture,Rural Business-Cooperative Service,Rural Business,Business and Industry Loans,1997,0.51,46.02,-16.21,61.72,,4816,4641,10554,
Department of Agriculture,Rural Business-Cooperative Service,Rural Business,Business and Industry Loans,1998,-7.16,41.42,-10.9,59.48,,10828,9222,19552,
Department of Agriculture,Rural Business-Cooperative Service,Rural Business,Business and Industry Loans,1999,-14.64,20.87,3.61,31.9,-40,8351,8661,24851,112
Department of Agriculture,Rural Business-Cooperative Service,Rural Business,Business and Industry Loans,2000,-14.16,35.68,-4.66,54.5,-138,15239,13551,28828,1687
Department of Agriculture,Rural Business-Cooperative Service,Rural Business,Business and Industry Loans,2001,5.82,36.14,3.94,26.38,171,18251,13633,45377,399
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,1992,50.03,48.73,8.38,-9.68,-4,-2113,-885,32500,51
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,1993,54.22,51.07,1.03,-4.18,-13,-790,-1341,32390,358
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,1994,57.54,51.25,-3.81,-2.48,169,-6090,-5870,76267,1616
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,1995,54.02,47.03,-1.83,-5.16,-33,-8948,-6680,82559,2571
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,1996,59.5,45.5,-6.83,-7.17,-171,-5867,-4821,33262,1600
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,1997,46.48,46.27,4.84,-5.05,-208,-1378,-497,33893,3168
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,1998,48.25,44.08,1.64,-5.81,-191,-2286,-1419,28042,3870
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,1999,50.35,46.84,-2.61,-0.9,-152,-1432,-1341,28745,3407
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2000,43.43,43.49,2.38,-2.32,-177,-943,-355,34928,6736
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2001,50.91,37.5,-8.29,-5.12,-114,-5119,-4192,32414,6192
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2002,43.21,37.37,-4.09,-1.75,-196,-2335,-1730,28621,8325
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2003,48.26,38.18,-6.12,-3.96,-116,-4450,-3474,35243,10708
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2004,43.27,36.75,-2.21,-4.31,-110,-2523,-1958,29290,9839
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2005,46.38,36.24,-6.54,-3.6,210,-3556,-2830,28525,9501
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2006,43.02,35.39,-6.51,-1.12,-134,-3495,-2318,30095,12569
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2007,44.07,32.93,-11.38,0.24,149,-3677,-3191,29739,13765
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2008,42.89,30.36,-12.44,-0.09,365,-3769,-3452,28787,14098
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2009,41.85,28.73,-12.03,-1.09,278,-3124,-3164,25346,14189
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2010,25.24,23.93,2.27,-3.58,309,-423,-393,25326,14146
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2011,38.58,19.67,-14.67,-4.24,-87,-2522,-2478,14148,8909
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2012,33.88,9.49,-9.44,-14.96,-2151,-3399,-2799,12157,9983
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2013,32.04,21.61,-9.35,-1.09,-27,-1233,-1290,12869,9288
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2014,21.61,19.41,-1.73,-0.47,-88,-444,-397,17117,13059
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2015,30.8,19.59,-11.65,0.44,-32,-1733,-1859,16667,13090
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2016,27.62,20.7,-7.63,0.71,-59,-930,-1048,15427,13044
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2017,28.99,20.21,-9.16,0.38,-846,-1007,-1124,13109,11510
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2018,23.09,16.1,-8.45,1.46,-74,-979,-1140,15994,14683
Department of Agriculture,Rural Business-Cooperative Service,Intermediary Relending Program Fund Account,Intermediary Relending Program,2019,22.01,17.67,-8.74,4.4,-7,-587,-694,15924,15107
